Disability,Gender,Balvatika-1,Balvatika-2,Balvatika-3,Class-1,Class-10,Class-11,Class-12,Class-2,Class-3,Class-4,Class-5,Class-6,Class-7,Class-8,Class-9,Survival_to_Class10,Transition_to_Class12,Overall_Survival,Risk_Before_Class10,Risk_After_Class10
Acid Attack victim,All,0.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
Acid Attack victim,Boys,2.0,4.0,6.0,35.0,18.0,17.0,12.0,34.0,50.0,40.0,43.0,35.0,29.0,31.0,18.0,9.0,0.6666666666666666,6.0,False,True
Acid Attack victim,Girls,0.0,3.0,3.0,30.0,16.0,15.0,9.0,41.0,36.0,29.0,35.0,27.0,32.0,30.0,23.0,,0.5625,,False,False
Autism Spectrum Disorder,All,0.0,0.0,0.0,0.0,0.0,0.0,23449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
Autism Spectrum Disorder,Boys,69.0,401.0,765.0,2427.0,559.0,299.0,242.0,2442.0,2288.0,1846.0,1681.0,1310.0,1120.0,1019.0,731.0,8.101449275362318,0.4329159212880143,3.5072463768115942,False,True
Autism Spectrum Disorder,Girls,13.0,124.0,229.0,734.0,242.0,122.0,87.0,782.0,803.0,690.0,654.0,470.0,505.0,476.0,319.0,18.615384615384617,0.359504132231405,6.6923076923076925,False,True
Blindness,All,0.0,0.0,0.0,0.0,0.0,0.0,48811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
Blindness,Boys,49.0,100.0,309.0,1884.0,2174.0,1533.0,1606.0,2272.0,2392.0,2307.0,2773.0,2387.0,2896.0,2778.0,2047.0,44.36734693877551,0.7387304507819688,32.775510204081634,False,True
Blindness,Girls,34.0,88.0,274.0,1504.0,1477.0,1110.0,1117.0,1761.0,1868.0,1923.0,2224.0,1938.0,2143.0,2273.0,1570.0,43.44117647058823,0.7562626946513202,32.85294117647059,False,True
Cerebral palsy,All,0.0,0.0,0.0,0.0,0.0,0.0,78219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
Cerebral palsy,Boys,28.0,171.0,820.0,4145.0,2202.0,908.0,909.0,5592.0,5584.0,5611.0,5592.0,4230.0,4426.0,4215.0,3053.0,78.64285714285714,0.4128065395095368,32.464285714285715,False,True
Cerebral palsy,Girls,10.0,127.0,550.0,2686.0,1585.0,679.0,616.0,3415.0,3518.0,3485.0,3575.0,2758.0,2822.0,2858.0,2049.0,158.5,0.3886435331230284,61.6,False,True
Chronic Neurological conditions,All,0.0,0.0,0.0,0.0,0.0,0.0,6436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
Chronic Neurological conditions,Boys,8.0,31.0,85.0,332.0,178.0,113.0,72.0,425.0,426.0,413.0,431.0,297.0,331.0,383.0,270.0,22.25,0.4044943820224719,9.0,False,True
Chronic Neurological conditions,Girls,5.0,16.0,55.0,202.0,151.0,80.0,54.0,266.0,299.0,280.0,309.0,231.0,249.0,245.0,199.0,30.2,0.3576158940397351,10.8,False,True
Dwarfism,All,0.0,0.0,0.0,0.0,0.0,0.0,13607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
