Disability_Type,Gender,Region,Socioeconomic_Status,Assistive_Tech_Use,Specialized_Training_Access,Parental_Involvement,Curriculum_Adaptation,Survival_to_Class10,Transition_to_Class12,Employment_Prospect
Blindness,Boys,Urban,Low,Yes,Workshop,Medium,Significant,1,1,1
Blindness,Girls,Urban,Low,No,Formal Training,Low,,1,1,0
Blindness,Boys,Rural,High,,None,High,Significant,1,0,1
Blindness,Boys,Rural,High,No,None,Low,Some,1,0,1
Blindness,Boys,Rural,Medium,No,Workshop,High,Significant,0,0,0
Blindness,Girls,Rural,High,No,Workshop,Medium,Some,1,0,0
Blindness,Boys,Rural,Medium,No,Workshop,High,,0,0,1
Blindness,Boys,Urban,Medium,No,Formal Training,Medium,Some,0,0,0
Blindness,Boys,Rural,Medium,No,None,,Some,0,0,1
Blindness,Girls,Rural,Medium,No,None,Low,None,0,0,0
Blindness,Boys,Urban,Medium,Yes,Formal Training,Low,,0,0,0
Blindness,Boys,Rural,Low,No,None,High,Significant,1,0,1
Blindness,Boys,Urban,High,No,Workshop,Medium,None,1,0,1
Blindness,Boys,Rural,Medium,No,Workshop,Low,None,0,0,1
Blindness,Girls,Urban,High,No,Workshop,Low,Significant,0,0,1
Blindness,Boys,Rural,High,No,None,Medium,Significant,0,0,1
Blindness,Girls,Rural,Medium,No,Workshop,Low,Significant,0,0,1
Blindness,Girls,Urban,Low,,Formal Training,Medium,None,0,0,0
Blindness,Girls,Urban,Medium,No,Formal Training,Medium,None,1,0,0
Blindness,Boys,,Low,No,None,Medium,Significant,0,0,0
Blindness,Girls,Urban,High,No,Formal Training,Medium,Some,1,1,1
Blindness,Boys,Urban,Low,No,Formal Training,Medium,Significant,0,0,1
Blindness,Girls,Urban,Low,Yes,None,High,Some,1,1,1
Blindness,Girls,Urban,Low,Yes,Workshop,Low,,1,0,0
Blindness,Girls,Urban,High,No,Workshop,High,Significant,1,1,1
Blindness,Girls,Rural,High,No,Workshop,Low,Significant,1,1,1
Blindness,Girls,,Low,Yes,None,High,Significant,0,0,1
Blindness,Girls,Urban,Low,No,Formal Training,Medium,None,0,0,0
Blindness,Girls,Rural,Medium,Yes,Workshop,Low,,1,0,1
Blindness,Girls,,Low,Yes,Workshop,Low,None,0,0,0
Blindness,Boys,Rural,Medium,Yes,None,High,None,1,1,1
Blindness,Boys,Rural,Low,Yes,Workshop,High,Significant,0,0,1
Blindness,Girls,Urban,Medium,Yes,None,Low,None,0,0,1
Blindness,Girls,Rural,High,No,Formal Training,High,Significant,1,0,0
Blindness,Girls,Urban,Low,Yes,None,High,Some,1,1,0
Blindness,Boys,Rural,Low,No,None,High,Significant,1,1,1
Blindness,Girls,Rural,Low,No,None,Medium,None,0,0,0
Blindness,Boys,Rural,Low,Yes,None,Medium,None,1,0,0
