Disability_Type,Gender,Region,Socioeconomic_Status,Assistive_Tech_Use,Specialized_Training_Access,Parental_Involvement,Curriculum_Adaptation,Survival_to_Class10,Transition_to_Class12,Employment_Prospect
Blindness,Girls,Rural,Low,No,Workshop,Medium,Significant,1,0,0
Blindness,Girls,,Medium,Yes,None,High,Significant,0,0,1
Blindness,Boys,Urban,Low,No,Workshop,Medium,,1,1,1
Blindness,Boys,Urban,High,,Workshop,High,Significant,1,1,1
Blindness,Boys,Urban,Low,Yes,None,Low,None,1,1,1
Blindness,Boys,Rural,Medium,No,Formal Training,High,Some,1,1,1
Blindness,Girls,Rural,Medium,No,None,High,None,1,1,1
Blindness,Girls,Rural,Medium,No,None,Low,Some,1,0,0
Blindness,Boys,Rural,Low,No,None,High,,1,1,1
Blindness,Boys,,High,No,Workshop,Medium,,0,0,0
Blindness,Boys,Urban,Low,Yes,Formal Training,High,Significant,1,1,1
Blindness,Boys,Rural,High,Yes,Formal Training,High,Significant,0,0,1
Blindness,Girls,Urban,Low,No,Formal Training,Medium,Some,0,0,0
Blindness,Boys,Rural,Low,No,Workshop,High,None,0,0,0
Blindness,Boys,Rural,High,No,Workshop,Medium,Some,1,0,1
Blindness,Girls,Urban,Low,No,Workshop,Low,Some,1,1,0
Blindness,Boys,Urban,High,No,Workshop,High,None,1,0,1
Blindness,Boys,Urban,High,No,None,Medium,None,1,0,1
Blindness,Girls,Rural,Medium,Yes,Workshop,Low,None,1,1,0
Blindness,Girls,Urban,High,Yes,Formal Training,Medium,Some,0,0,0
Low Vision,Boys,Rural,Low,No,None,High,Some,0,0,1
Low Vision,Girls,Rural,Low,Yes,Workshop,Low,Some,1,1,0
Low Vision,Boys,,Medium,No,Formal Training,High,Some,1,1,1
Low Vision,Boys,Rural,High,No,Workshop,Low,Significant,1,0,1
Low Vision,Girls,Urban,High,Yes,Formal Training,Medium,None,1,1,1
Low Vision,Boys,Urban,Low,No,None,High,,0,0,1
Low Vision,Girls,Urban,High,No,None,Medium,None,1,1,1
