age_group,experience_years,disability_types,num_disabled_students,primary_age_group,specialized_training,curriculum_percentage,What additional learning support do these students require? (Select all that apply) ,difficult_skills,hands_on_learning,social_difficulties,What social challenges do they face the most? (Select all that apply) ,psychological_support,work_skills,career_exploration,career_interest,life_skills_training,career_topics,career_curiosity,career_activities,basic_life_skills,assistive_tech_use,assistive_tech_types,tech_comfort,parental_involvement,home_learning_support,family_involvement_academic,career_challenges,work_support_needed,future_challenges,adulthood_support,government_support,additional_comment,sentiment_label,sentiment_score
41 - 50,10+ years,Sensory disability (hearing/vision impairment),60+,14 - 18,"Yes, formal training (degree/certification)",21 - 50 %,More time for assignments/tests,Communication and social interaction,Often,"Yes, very often",Anxiety communicating with others,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"Yes, regularly","Yes, regularly","Yes, many students are interested",Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently",,"Yes, comfortable",Not involved at all,"No, they rely entirely on teachers","Yes, significantly",Difficulty with higher education access;Workplace discrimination;Lack of independent living skills,Government policies encouraging inclusive hiring,Discrimination in workplaces;Lack of independent living skills,Government policies promoting disability employment,Yes,None so far,Neutral,0
31 - 40,10+ years,Sensory disability (hearing/vision impairment),45931,14 - 18,"Yes, formal training (degree/certification)",21 - 50 %,Practical knowledge ,Reading and writing;Communication and social interaction,Often,"Yes, very often",Other people can't communicate ,"No, but they need it","Yes, frequently","Yes, multiple times a year",Almost none,"Yes, regularly","Yes, regularly","Yes, many students are interested",Field trips to workplaces,"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks,"Yes, comfortable",Somewhat involved (occasional participation),"Sometimes, but inconsistently","Yes, significantly",Language barrier ,More accessibility in education and workplaces;Programs for self-confidence and leadership development;Government policies encouraging inclusive hiring,Lack of independent living skills,Better employer awareness of disabilities;Government policies promoting disability employment,Yes,Everything is given to them accordingly ,Neutral,0
41 - 50,3 - 5 years,Sensory disability (hearing/vision impairment),20 - 30,41579,"Yes, workshops/seminars",0 - 20 %,Emotional and social support,Reading and writing;Math and logical reasoning;Communication and social interaction,Often,"Yes, very often",interacting with fully abled persons ,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Most of them,"Yes, regularly","Yes, regularly","Yes, many students are interested",Guest speakers (professionals sharing experiences),Sometimes,"Yes, but only a few students",Screen readers & audiobooks;Speech-to-text tools;Special keyboards/mice for motor disabilities;Visual aids and magnification tools,"Yes, comfortable",Not involved at all,"No, they rely entirely on teachers","Yes, significantly",Workplace discrimination;Employers' lack of accommodations,More accessibility in education and workplaces,Discrimination in workplaces,Government policies promoting disability employment,Yes,,Neutral,0
31 - 40,10+ years,Mental health conditions,20 - 30,14 - 18,"Yes, formal training (degree/certification)",0 - 20 %,Emotional and social support;More accessibility in common public places which are easily accessible by fully able folks ,Reading and writing;Communication and social interaction;Problem-solving and critical thinking,Often,"Yes, sometimes",Difficulty making friends;Trouble understanding social cues;Anxiety in group settings;Low self-confidence,Sometimes,"Yes, frequently","Yes, multiple times a year",About half,Sometimes,"Yes, regularly",A few students express interest,Field trips to workplaces;Guest speakers (professionals sharing experiences);Hands-on projects related to real-world jobs;Role-playing job scenarios,"Yes, regularly taught","Yes, frequently",Computers,"Yes, comfortable",Somewhat involved (occasional participation),"No, they rely entirely on teachers","Yes, significantly",Workplace discrimination,More accessibility in education and workplaces;Programs for self-confidence and leadership development;Government policies encouraging inclusive hiring,Discrimination in workplaces,Career counseling & mentorship;Better employer awareness of disabilities;Government policies promoting disability employment,Yes,Students facing disabilities which aren't visible to naked eyes face difficulty in availing government policies. some government policies merely focus on a tiner part of disability when it's a broad spectrum. ,Negative,-0.34
31 - 40,6 - 10 years,Sensory disability (hearing/vision impairment),30 - 40,41579,"Yes, workshops/seminars",21 - 50 %,Emotional and social support,Communication and social interaction;Problem-solving and critical thinking;Physical/motor skills,Sometimes,"Yes, sometimes",Anxiety in group settings,"Yes, regularly","Yes, frequently","Yes, multiple times a year",A few,Sometimes,"Yes, regularly",A few students express interest,Field trips to workplaces;Guest speakers (professionals sharing experiences);Role-playing job scenarios,"Yes, regularly taught","Yes, but only a few students",Screen readers & audiobooks;Speech-to-text tools,"Yes, comfortable",Not involved at all,"Sometimes, but inconsistently","Yes, significantly",Workplace discrimination,More accessibility in education and workplaces;Programs for self-confidence and leadership development;Government policies encouraging inclusive hiring,Limited higher education options;Discrimination in workplaces;Lack of independent living skills,Better employer awareness of disabilities;Government policies promoting disability employment,Yes,,Neutral,0
31 - 40,3 - 5 years,Mental health conditions,30 - 40,41579,"Yes, formal training (degree/certification)",0 - 20 %,Professional Counselor Specializing in Mental Health related disabilities ,Communication and social interaction;Issues understanding and comprehending in a social setting,Often,"Yes, sometimes",Difficulty making friends;Trouble understanding social cues;Anxiety in group settings;Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",A few,"Yes, regularly","Yes, regularly",A few students express interest,Field trips to workplaces;Guest speakers (professionals sharing experiences);Seminars on potential career opportunities ,"Yes, regularly taught","Yes, but only a few students",Computers,somewhat comfortable,Not involved at all,"No, they rely entirely on teachers","Yes, slightly",Employers' lack of accommodations,More accessibility in education and workplaces;Programs for self-confidence and leadership development,Limited higher education options;Discrimination in workplaces,Government policies promoting disability employment,Yes,,Neutral,0
20 - 30,6 - 10 years,"Cognitive disability (dyslexia, ADHD, autism, etc.)",20 - 30,41579,"Yes, formal training (degree/certification)",0 - 20 %,Special education programs;More time for assignments/tests;Emotional and social support,Communication and social interaction;Problem-solving and critical thinking,Often,"Yes, sometimes",Trouble understanding social cues;Anxiety in group settings;Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",A few,"Yes, regularly","Yes, regularly","Yes, many students are interested",Field trips to workplaces;Guest speakers (professionals sharing experiences),"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks;Speech-to-text tools,"Yes, comfortable",Somewhat involved (occasional participation),"Sometimes, but inconsistently","Yes, significantly",Workplace discrimination,Government policies encouraging inclusive hiring,Discrimination in workplaces,Government policies promoting disability employment,Yes,,Neutral,0
41 - 50,6 - 10 years,"Cognitive disability (dyslexia, ADHD, autism, etc.)",30 - 40,14 - 18,"Yes, workshops/seminars",21 - 50 %,"Special education programs;Assistive technology (speech-to-text, screen readers, etc.);Computers",Reading and writing;Communication and social interaction,Sometimes,"Yes, very often",Difficulty making friends,"Yes, regularly","Yes, frequently","Yes, multiple times a year",About half,"Yes, regularly","Yes, regularly","Yes, many students are interested",Field trips to workplaces;Hands-on projects related to real-world jobs;Role-playing job scenarios,"Yes, regularly taught","Yes, frequently",Screen readers & audiobooks;Speech-to-text tools,somewhat comfortable,Somewhat involved (occasional participation),"No, they rely entirely on teachers","Yes, significantly",Difficulty with higher education access;Workplace discrimination,More life skills training in schools;Early exposure to career options;More accessibility in education and workplaces,Limited higher education options;Discrimination in workplaces,Government policies promoting disability employment,Yes,More policies for different types of disabilities which focuses on inclusion ,Neutral,0
41 - 50,6 - 10 years,Physical disability,30 - 40,41579,"Yes, workshops/seminars",21 - 50 %,"Physical disability friendly transportation, places, commuting etc",Communication and social interaction;Problem-solving and critical thinking,Often,"Yes, very often",Missing on opportunities due to lack of accessibility ,"Yes, regularly","Yes, frequently","Yes, multiple times a year",A few,Sometimes,"Yes, regularly",A few students express interest,Guest speakers (professionals sharing experiences);Hands-on projects related to real-world jobs;Role-playing job scenarios,Sometimes,"Yes, but only a few students",Special keyboards/mice for motor disabilities;Computers,"Yes, comfortable",Not involved at all,"Sometimes, but inconsistently","Yes, significantly",Workplace discrimination,Early exposure to career options;Programs for self-confidence and leadership development,Discrimination in workplaces;Lack of independent living skills,Government policies promoting disability employment,Yes,,Neutral,0
20 - 30,0 - 2 years,Physical disability,20 - 30,45843,"Yes, formal training (degree/certification)",51 - 80 %,Special education programs,Physical/motor skills,Often,"Yes, very often",Difficulty making friends;Trouble understanding social cues;Low self-confidence,"Yes, regularly","Yes, frequently","Yes, multiple times a year",Almost none,"Yes, regularly","Yes, regularly",A few students express interest,Field trips to workplaces;Guest speakers (professionals sharing experiences);Hands-on projects related to real-world jobs;Role-playing job scenarios,"Yes, regularly taught","Yes, frequently",Computers,"Yes, comfortable",Not involved at all,"No, they rely entirely on teachers","Yes, significantly",Lack of independent living skills;Employers' lack of accommodations,Early exposure to career options;More accessibility in education and workplaces,Discrimination in workplaces;Lack of independent living skills,More vocational training;Better employer awareness of disabilities;Government policies promoting disability employment,Yes,,Neutral,0
